Signatur;EXEMPLARNR;Kurztitel;GTV;ISBN
P 1030g - 7;1608374001;"Almagro Basch, Martín: Fasciculo 7 / Martín Almagro Basch (Inventaria archaeologica : E... ; ...)";"Inventaria archaeologica : Espana ; Fasc. 5 = E. 11 - E. 19";
P 1030h - 1;1608377001;"Ripostigli delle età dei metalli 1. Ripostigli del Massiccio della Tolfa. - 1961. - 18 Bl. : zahlr. Ill. (Inventaria archaeologica : Italia ; Fasc. 1 = I 1 - I 3)";"Inventaria archaeologica : Italia ; Fasc. 1 = I 1 - I 3";
P 1030h - 2;1608378001;"Ripostigli delle età dei metalli 2. Ripostigli del Grossetano. - 1961. - [16] Bl. : überw. Ill. (Inventaria archaeologica : Italia ; Fasc. 2  = I 4 - I 5)";"Inventaria archaeologica : Italia ; Fasc. 2  = I 4 - I 5";
P 1030h - 3;1608379001;"Ripostigli delle età dei metalli 3. Ripostigli dell'Appennino Umbro-Marchigiano. - 1963. - 17 Bl. : überwiegend Ill. (Inventaria archaeologica : Italia ; Fasc. 3  = I 6 - I 8)";"Inventaria archaeologica : Italia ; Fasc. 3  = I 6 - I 8";
P 1030h - 4;1608380001;"Ripostigli delle età dei metalli 4. Ripostiglio di Ardea. - 1967. - [47] Bl.: zahlr. Ill. (Inventaria archaeologica : Italia ; Fasc. 4 = I 9)";"Inventaria archaeologica : Italia ; Fasc. 4 = I 9";
P 1030i - 1 ;1608381001;"Buchvaldek, Miroslav: Die Schnurkeramik in Böhmen / von Miroslav Buchvaldek (Inventaria archaeologica : C... ; ...)";"Inventaria archaeologica : Ceskoslovensko ; H. 1 = CS 1 - CS 10";
P 1030i - 2;1608382001;"Hájek, Ladislav: Die Glockenbecherkultur in Böhmen und Mähren / von Ladislav Hájek (Inventaria archaeologica : C... ; ...)";"Inventaria archaeologica : Ceskoslovensko ; H. 2 = CS 11 - CS 20";
P 1030i - 3;1608383001;"Dusek, Mikulás: Bronzezeit : Karpatenländische Hügelgräberkultur / Mikulás Dusek , Vorw. von Anton Tocík (Inventaria archaeologica : C... ; ...)";"Inventaria archaeologica : Ceskoslovensko ; H. 3 = CS 21 - CS 34";
P 1030i - 4;1608384001;"Dusek, Mikulás: Bronzezeit : Dolný Peter ; bronzezeitliches birituelles Gräberfeld / Mikulás Dusek (Inventaria archaeologica : C... ; ...)";"Inventaria archaeologica : Ceskoslovensko ; H. 4 = CS 35 - CS 44";
P 1030k - 1;1608385001;"Kalicz, Nándor ; Korek, József ; Soproni, Sándor: Kupferzeit : Grabfunde der Péceler Kultur aus der Donau-Theiss-Gegend, Transdanubien und Nordungarn / von Nándor Kalicz,... (Inventaria archaeologica : U... ; ...)";"Inventaria Archaeologica : Ungarn ; 1";
P 1030k - 2;1608386001;"Mozsolics, Amália: Spätbronzezeitliche Depotfunde aus Ungarn / von A. Mozsolics (Inventaria archaeologica : U... ; ...)";"Inventaria Archaeologica : Ungarn ; H. 2 = U 9 - U 18 und Einzelfund";
P 1030k - 3;1608388001;"Parducz, Mihaly: Early scythian age grave at Ártánd / by Mihaly Parducz (Inventaria archaeologica : U... ; ...)";"Inventaria Archaeologica : Ungarn ; H. 3 = U 19 - U 20 Tafel";
P 1030l - 1;1608392001;"Hoards of the Danish Bronze Age  Heft 1. - 1965. - 13 Bl. (Inventaria archaeologica : Denmark ; ...)";"Inventaria archaeologica : Denmark ; 1st Set =  DK 1 - DK 4";
P 1030l - 10;1608410001;"Hoards of the Danish late Bronze Age (Mont. V) Heft 4. - 1983. - 11 Bl. (Inventaria archaeologica : Denmark ; ...)";"Inventaria archaeologica : Denmark ; Set 10 = DK 46 - DK 49";
P 1030l - 11;1608407001;"Hoards of the Danish late Bronze Age (Mont. V) Heft 5. - 1983. - 13 Bl. (Inventaria archaeologica : Denmark ; ...)";"Inventaria archaeologica : Denmark ; Set 11 = DK 50 - DK 54";
P 1030l - 12;1608412001;"Hoards of the late funnel beaker culture (Mont. IV-V) 1. The Danish Islands. - 1989. - 10 Bl.: Ill. (Inventaria archaeologica : Denmark ; ...)";"Inventaria archaeologica : Denmark ; 12. Set = DK 55 - DK 62";
P 1030l - 13;1608414001;"Hoards of the late funnel beaker culture (Mont. IV-V) 1,1. Jutland. - 1989. - 11 Bl.: Ill. (Inventaria archaeologica : Denmark ; ...)";"Inventaria archaeologica : Denmark ; 13. Set = DK 63 - DK 69";
P 1030l - 14;1608415001;"Hoards of the late funnel beaker culture (Mont. IV-V) 1,2. Jutland. - 1989. - 12 Bl.: Ill. (Inventaria archaeologica : Denmark ; 14. Set = DK 70)";"Inventaria archaeologica : Denmark ; 14. Set = DK 70";
P 1030l - 2;1608393001;"Hoards of the Danish Bronze Age Heft 2. - 1967. - 14 Bl. (Inventaria archaeologica : Denmark ; ...)";"Inventaria archaeologica : Denmark ; 2. Set.  = DK 5 - DK 10";
P 1030l - 3;1608394001;"Becker, Carl Johan: Early Bronze Age hoards with spareheads / by C. J. Becker (Inventaria archaeologica : D... ; ...)";"Inventaria archaeologica : Denmark ; 3. Set  = DK 11 - DK 15";
P 1030l - 4;1608395001;"Randsborg, Klavs: Bronze Age grave finds in east Denmark (Period III) / by Klavs Randsborg (Inventaria archaeologica : D... ; ...)";"Inventaria archaeologica : Denmark ; 4. Set = DK 16 - DK 22";
P 1030l - 5;1608397001;"Jensen, Jørgen: Graves of the Danish late bronze age (Mont VI) / Jørgen Jensen (Inventaria archaeologica : D... ; ...)";"Inventaria archaeologica : Denmark ; 5. Set = DK 23 - DK 32";
P 1030l - 6;1608399001;"Hoards of the Danish late Bronze Age (Mont. V) Heft [1]. - 1971. - 12 Bl. (Inventaria archaeologica : Denmark ; ...)";"Inventaria archaeologica : Denmark ; 6. Set  = DK 33 - DK 35";
P 1030l - 7;1608398001;"Hoards of the Danish late Bronze Age (Mont. V) Heft 2. - 1971. - 11 Bl. (Inventaria archaeologica : Denmark ; ...)";"Inventaria archaeologica : Denmark ; 7. Set  = DK 36 - DK 39";
P 1030l - 8;1608400001;"Lund Hansen, Ulla: Danish grave finds of the fourth and fifth century A.D. / by Ulla Lund Hansen (Inventaria archaeologica : D... ; ...)";"Inventaria archaeologica : Denmark ; Set 8 = DK 40 - DK 44";
P 1030l - 9;1608409001;"Hoards of the Danish late Bronze Age (Mont. V) Heft 3. - 1983. - 12 Bl. (Inventaria archaeologica : Denmark ; Set 9 = DK 45)";"Inventaria archaeologica : Denmark ; 9 = DK 45";
P 1030n - 1;407276001;Netherlands. 1. Graves containing beakers with potruding foot. - 1970. - 10 Taf.;;
P 1030n - 2;1608419001;"Butler, Jay J.: Bronze age grave groups and hoards of the Netherlands (1) / by Jay J. Butler  (Inventaria archaeologica : T... ; ...)";"Inventaria archaeologica : The Netherlands ; 2";
P 1030no - 1;1608420001;"Magnus, Bente ; Møllerop, Odmund ; Sjøvold, Thorleif: Migration period graves / by Bente Magnus ; Odmund Møllerop ; Thorleif Sjøvold (Inventaria archaeologica : N... ; ...)";"Inventaria archaeologica : Norway ; 1. Set = N 1 - N 3";
P 1030p - 1;1608421001;"Schmidt, Berthold : Die münzdatierten Grabfunde der spätrömischen Kaiserzeit im Mittelelbe-Saale-Gebiet. - 1982. - [56] S. : zahlr. Ill. (Inventaria archaeologica : Deutsche Demokratisch... ; ...)";"Inventaria archaeologica : Deutsche Demokratische Republik ; H. 1 = Bl. DDR 1 - 12 :";
P 1030p - 2;1608422001;"Schmidt-Thielbeer, Erika : Grabinventare der frührömischen Kaiserzeit aus den Kreisen Dessau, Bernburg und Köthen. - 1983. - 14 lose Bl. : zahlr. Ill. (Inventaria archaeologica : Deutsche Demokratisch... ; ...)";"Inventaria archaeologica : Deutsche Demokratische Republik ; H. 2 = Bl. DDR 13 - 22";
P 1030p - 3;1608423001;"Horst, Fritz : Grabfunde der jüngeren Bronzezeit aus dem nördlichen Gebiet der DDR. - 1984. - 10 Bl. (Inventaria archaeologica : Deutsche Demokratisch... ; ...)";"Inventaria archaeologica : Deutsche Demokratische Republik ; H. 3 = DDR 23 - 32";
P 1030p - 4;1608425001;"Schmidt-Thielbeer, Erika : Grabinventare der spätrömischen Kaiserzeit aus den Kreisen Dessau, Bernburg und Köthen. - 1985. - [13] S. : zahlr. Ill. (Inventaria archaeologica : Deutsche Demokratisch... ; ...)";"Inventaria archaeologica : Deutsche Demokratische Republik ; H. 4 = Bl. DDR 33 - 40";
P 1030p - 5;1608426001;"Laser, Rudolf : Grabinventare der spätrömischen Kaiserzeit aus den südlichen und mittleren Bezirken der DDR. - 1986. - [14] Bl. : zahlr. Ill. (Inventaria archaeologica : Deutsche Demokratisch... ; ...)";"Inventaria archaeologica : Deutsche Demokratische Republik ; H. 5 = Bl. DDR 41 - 50";3-326-00157-6
P 1030p - 6;1608428001;"Hortfunde der jüngeren Bronzezeit aus dem Mittelelbe-Havelgebiet. - 1987. - 16 Bl. (Inventaria archaeologica : Deutsche Demokratisch... ; ...)";"Inventaria archaeologica : Deutsche Demokratische Republik ; H. 6 = Bl. DDR 51 - 60";
P 1030p - 7;1608430001;"Müller, Rosemarie : Grabfunde der älteren vorrömischen Eisenzeit aus der Südzone der Jastorfkultur. - 1988. - [16] Bl. : überw. graph. Darst. (Inventaria archaeologica : Deutsche Demokratisch... ; ...)";"Inventaria archaeologica : Deutsche Demokratische Republik ; H. 7 = Bl. DDR 61 - 70";
P 1030p - 8;1608432001;"Beier, Hans-Jürgen: Neolithikum  : Grabfunde der Kugelamphorenkultur aus den Bezirken Halle und Magdeburg / Hans-Jürgen Beier (Inventaria archaeologica : D... ; ...)";"Inventaria archaeologica : Deutsche Demokratische Republik ; H. 8 = Bl. DDR 71 - 80";
P 1030p - 9;1608431001;"Peschel, Karl : Grabfunde vom Übergang zur Römischen Kaiserzeit aus Thüringen. - 1990. - 16 Bl. (Inventaria archaeologica : Deutsche Demokratisch... ; ...)";"Inventaria archaeologica : Deutsche Demokratische Republik ; H. 9 = Bl. DDR 81 - 90";3-326-00574-1
P 1030r - 1;1608433001;"Dépôts de l'âge du bronze moyen / par Dorin Popescu et Mircea Rusu. Sous la red. de Ion Nestor (Inventaria archaeologica : R... ; ...)";"Inventaria archaeologica : Roumanie ; Fasc. 1 = R 1 - R 14";
P 1030r - 10;1608455001;"Bronzehortfunde aus Transsilvanien : (Hallstatt A2 - B3) / von M. Rusu ... (Inventaria archaeologica : R... ; ...)";"Inventaria archaeologica : Roumanie ; Fasc. 10 = R 64 - R 70";
P 1030r - 11;1608456001;"Dépôt d'outils en fer d'epoque la tène de Lozna, Dép. de Botosani / Silvia Teodor ; Paul Sadurschi (Inventaria archaeologica : R... ; ...)";"Inventaria archaeologica : Roumanie ; Fasc. 11 = 71a-l";
P 1030r - 12;1608457001;"Nécropole du 4e et commencement du 5e siècle de N.È. à Bîrlad - Valea Seaca / par Vasile Palade (Inventaria archaeologica : R... ; ...)";"Inventaria archaeologica : Roumanie ; Fasc. 12 = R 72 - R 92";
P 1030r - 13;1608459001;"La nécropole gétique de Ve-IVe siècles av. N. È. de Bugeac / par Mihai Irimia (Inventaria archaeologica : R... ; ...)";"Inventaria archaeologica : Roumanie ; Fasc. 13 = R 93 - R 109";
P 1030r - 2;1608434001;"Dépôts de l'âge du bronze tardif / par Alexandrina D. Alexandrescu. Sous la réd. Ion Nestor (Inventaria archaeologica : R... ; ...)";"Inventaria archaeologica : Roumanie ; Fasc. 2 = R 15 - R 16";
P 1030r - 3;1608435001;"Le trésor dace en argent de sincraieni / par Dorin Popescu (Inventaria archaeologica : R... ; ...)";"Inventaria archaeologica : Roumanie ; Fasc.3 = R 17";
P 1030r - 4;1608436001;"Le Dêpot de l'âge du bronze tardif de baleni / par Ion T. Dragomir. Sous la réd. de Ion Nestor (Inventaria archaeologica : R... ; ...)";"Inventaria archaeologica : Roumanie ; Fasc. 4 = R 18";
P 1030r - 6;1608449001;"Bader, Tiberiu: Dépòts de l'âge du bronze tardif du Nord-Ouest de la Transylvanie / par Tiberiu Bader. Sous la direction de Ion Nestor (Inventaria archaeologica : R... ; ...)";"Inventaria archaeologica : Roumanie ; Fasc. 6 = R 24 - R 30";
P 1030r - 7;1608450001;"Dépôts de l'âge du bronze tardif / par Mircea Petrescu-Dîmbovita ... (Inventaria archaeologica : R... ; ...)";"Inventaria archaeologica : Roumanie ; Fasc. 7 = R 31 - R 41";
P 1030r - 8;1608453001;"Ionita, Ion: La nécropole du 4e siècle de N.È. a Miorcani / Ion Ionita (Inventaria archaeologica : R... ; ...)";"Inventaria archaeologica : Roumanie ; Fasc. 8 = R 42 - R 51";
P 1030r - 9;1608451001;"La nécropole carpe des 2e - 3e siècle de N.È. à Valeni / Ion Ionita ; Vasile Ursache (Inventaria archaeologica : R... ; ...)";"Inventaria archaeologica : Roumanie ; Fasc. 9 = R 52 - R 63";
P 1030w - 1;1608460001;"Vermeulen, Frank: Sint-Martens-Latem / Frank Vermeulen (Archaeol... ; 1)(Dissertationes ad ...)";"Archaeologisch inventaris :  Vlaanderen ; 1";
P 1030w - 10;1608471001;"Erpe / Koen de Groote (Archeolo... ; 10)(Dissertationes ad...)";"Archeologische inventaris : Vlaanderen ; 10";
P 1030w - 11;1608473001;"Waasmunster-Sombeke / Koen Verlaeckt (Archaeol... ; 11)(Dissertationes ad...)";"Archaeologisch inventaris : Vlaanderen ; 11";
P 1030w - 12;1608474001;"Zaffelare / Hans Kerrinckx (Archaeol... ; 12)(Dissertationes ad...)";"Archaeologisch inventaris : Vlaanderen ; 12";
P 1030w - 13;1608476001;"Lauwers, Pascale: Outrijve-Bossuit / Pascale Lauwers (Archaeol... ; 13)(Dissertationes ad...)";"Archaeologisch inventaris :  Vlaanderen ; 13";
P 1030w - 14;1608478001;"Mannekensvere / Hans Mestdagh (Archeolo... ; 14)(Dissertationes ad...)";"Archeologische inventaris :  Vlaanderen ; 14";
P 1030w - 15;1608479001;"Wannegem-Lede / Kurt Braeckman (Archaeol... ; 15)(Dissertationes ad...)";"Archaeologisch inventaris : Vlaanderen ; 15";
P 1030w - 2;1608461001;"Hillewaert, Beatrijs: Oosterkerke-bij-Brugge / Beatrijs Hillewaert (Archaeol... ; 2)(Dissertationes ad ...)";"Archaeologisch inventaris :  Vlaanderen ; 2";
P 1030w - 3;1608462001;"Balthau, Eric: Laarne / Eric Balthau (Archaeol... ; 3)(Dissertationes ad ...)";"Archaeologisch inventaris :  Vlaanderen ; 3";
P 1030w - 4;1608463001;"Bauters, Luc: Eke / Luc Bauters (Archaeol... ; 4)(Dissertationes ad ...)";"Archaeologisch inventaris :  Vlaanderen ; 4";
P 1030w - 5;1608464001;"Pieters, Marnix: Moorsel / Marnix Pieters (Archaeol... ; 5)(Dissertationes ad ...)";"Archaeologisch inventaris :  Vlaanderen ; 5";
P 1030w - 6;1608465001;"Bungeneers, Joke: Oelegem / Joke Bungeneers (Archaeol... ; 6)(Dissertationes ad ...)";"Archaeologisch inventaris :  Vlaanderen ; 6";
P 1030w - 7;1608466001;"Rommelaere, Johan: Meilegem - Nederzwalm-Hermelgem / Johan Rommelaere (Archaeol... ; 7)(Dissertationes ad ...)";"Archaeologisch inventaris : Vlaanderen ; 7";
P 1030w - 8;1608467001;"Crombé, Philippe: Maarke-Kerkem / Philippe Crombé (Archaeol... ; 8)(Dissertationes ad ...)";"Archaeologisch inventaris :  Vlaanderen ; 8";
P 1030w - 9;1608469001;"Soers, Kristel: Assebroek / Kristel Soers (Archaeol... ; 9)(Dissertationes ad ...)";"Archaeologisch inventaris :  Vlaanderen ; 9";
P 1031 - 1;1587711001;An inventory of the historical monuments in the city of York 1. Eburacum : Roman York. - 1962. - XLII, 168 S. : zahlr. Ill., graph. Darst., Kt.;;
P 1031h - 2;1587722001;An inventory of the ancient monuments in Brecknock (Brycheiniog) 2. Hill-forts and Roman Remains. - 1986. - 196 S. ;;
P 1031k - 1,1;1587728001;An inventory of the ancient monuments in Glamorgan Vol. 1,1. Pre-norman : The Stone and Bronze ages. - 1976. - XXX, 144 S. : graph. Darst., Ill., zahlr. Kt., 1 Bl. Corrections;;0-11-700588-6
P 1031k - 1,2;1587729001;An inventory of the ancient monuments in Glamorgan Vol. 1,2. Pre-norman : The Iron Age and the roman occupation. - 1976. - XXX, 135 S. : graph. Darst., Ill., zahlr. Kt.;;0-11-700589-4
P 1031k - 1,3;1587731001;An inventory of the ancient monuments in Glamorgan Vol. 1,3. Pre-Norman : The early Christian period. - 1976.;;
P 1031m - 2;1587735001;An inventory of the historical monuments in the County of Northampton 2. Archaeological sites in Central Northamptonshire. - 1979. - LXV, 201, 32 S. : Ill., graph. Darst., Kt.;;0-11-700842-7
P 1031s;1587739001;arkeoikuska 1981/1982(1983);;
P 1031sb;1587738001;arkeoikuska 1983(1985);;
P 1031sc;1587740001;arkeoikuska 1984(1986);;
P 1031sd;1587741001;arkeoikuska 1985(1986);;
P 1031se;1587742001;arkeoikuska 1986(1987);;
P 1031sf;1587743001;arkeoikuska 1988(1990);;
P 1031sg;1587744001;arkeoikuska 1990(1991);;
P 1031sh;1587745001;arkeoikuska 1991(1992);;
P 1031si;1587746001;arkeoikuska 1992(1993);;
P 1031sk;1587747001;arkeoikuska 1993(1994);;
P 1031sl;1587748001;arkeoikuska 1994(1995);;
P 1031sm;1587749001;arkeoikuska 1995(1996);;
P 1031sn;1587751001;arkeoikuska 1996(1997);;
P 1031so;1587753001;arkeoikuska 1997(1998);;
P 1031sp;1587755001;arkeoikuska 1998(1999);;
P 1031sq - 1999;1587756001;arkeoikuska 1999(2000);;
P 1031sq - 2000;400872001;arkeoikuska 2000(2001);;
P 1031sq - 2001;402530001;arkeoikuska 2001(2002);;
P 1031sq - 2002;403416001;arkeoikuska 2002(2003);;
P 1031sq - 2003;405071001;arkeoikuska 2003(2004);;
P 1031sq - 2004;408010001;arkeoikuska 2004(2005);;
P 1031sq - 2005;1564994001;arkeoikuska 2005(2006);;
P 1031sq - 2006;1638920001;arkeoikuska 2006(2007);;
P 1031sq - 2011;1655908001;arkeoikuska 2011(2012);;
P 1031sq - 2012;1690283001;arkeoikuska 2012(2013);;
P 1031sq - 2013;1712549001;arkeoikuska 2013(2014);;
P 1031sq - 2014;1739205001;arkeoikuska 2014(2015);;
P 1031sq - 2015;1752322001;arkeoikuska 2015(2016);;
;1769545001;;;
P 1032;1588180001;"Ionita, Ion: Das Gräberfeld von... / Ion Ionita (Saarbrücker Beiträge zur Alt... ; 10)";"Saarbrücker Beiträge zur Altertumskunde ; 10";
P 1032k;1588183001;Ireland and insular art A.D. 500 - 1200 : proceedings of a conference at Univ. College Cork, 31 Oct. - 3 Nov. 1985 / Ed. by Michael Ryan;;0-901714-54-2
P 1032s - 1;1588197001;Die Iren und Europa im früheren Mittelalter 1. Band 1. - 1982. - XVIII, 548 S. : Kt.;;
P 1032s - 2;1588199001;Die Iren und Europa im früheren Mittelalter 2. Band 2. - 1982. - VIII S., S. 549 - 1083 : Ill., Kt.;;
P 1033;1588203001;"Huld-Zetsche, Ingeborg: Der römische Fasanenkrug aus Mainz : zur figürlichen Bemalung der Wetterauer Ware / von Ingeborg Huld-Zetsche (Archäologische Berichte aus ... ; 2)";"Archäologische Berichte aus Rheinhessen und dem Kreis Bad Kreuznach ; 2";3-87439-106-X
P 1033a;1588224001;The Iron Age in Britain : a review / ed. by John Collis;;0-906090-00-8
P 1033d;1588221001;"Irmscher, Johannes: Einführung in die Byzantinistik / Johannes Irmscher (Sammlung Akademie-Verlag ; 21)";"Sammlung Akademie-Verlag ; 21";
P 1033i;1588228001;"The iron age and its hill-forts : papers presented to Sir Mortimer Wheeler on the occasion of his eightieth year at... (Department of A... : Universi... ; 1)"; Department of Archaeology;
P 1033k;1588231001;"The Iron Age in... / ed. by Charles Thomas (Council for British Archaeol... ; 9)";"Council for British Archaeology. Research report ; 9";
P 1033m;1588232001;"Two Iron Age sites in Northampton / ed.: J. H. Williams (Northampton Development Corp... ; 1)";"Northampton Development Corporation archaeological monographs; 1";
P 1033s;1588237001;Iron and man in prehistoric Sweden / by Karin Calissendorff ... [et al.];;91-36-86949-X
P 1034;213960002;"Irsigler, Franz: Untersuchungen zur Geschichte des frühfränkischen Adels / von Franz Irsigler (Rheinisches Archiv ; 70)";;
P 1034d;1588239001;"Isaac, Glynn: Early stages in the... / Glynn Isaac (Kroon-Voordracht ; 6)";"Kroon-Voordracht ; 6";
P 1034e;1588245001;Isaac, Glynn Llywelyn: The archaeology of human origins : Papers by Glynn Isaac. / Ed. by Barbara Isaac - 1. publ.;;0-521-36573-2
P 1034h;1588247001;"Ischer, Theophil: Die Pfahlbauten des Bielersees / Theophil Ischer (Heimatkundliche Monographien ; 4)";"Heimatkundliche Monographien ; 4";
P 1034k;1588248001;"Isenberg, Gabriele ; Lobbedey, Uwe: Scherben schreiben Geschichte : Archäologische Stadtkernforschung Minden, Bäckerstraße / Gabriele Isenberg u. Uwe Lobbedey";;
P 1035;1588255001;Kienast, Dietmar: Augustus : Prinzeps und Monarch / Dietmar Kienast - 2., unver...;;3-534-07058-5
P 1035h;1588259001;"Die Isländersaga / hrsg. von Walter Baetke (Wege der Forschung ; 151)";"Wege der Forschung ; 151";3-534-04003-1
P 1035m;1588261001;The northern and western isles in the Viking world : survival, continuity and change / ed. by Alexander Fenton and Hermann Pálsson;;0-85976-101-0
P 1036 - 1;1588267001;"The island of Umm An-Nar 1. Frifelt, Karen  : Third millennium graves. - 1991. - 188 S. : Ill., Kt. (Jutland Archaeological Society publications ; 26,1)";"Jutland Archaeological Society publications ; 26,1";87-7288-561-0
P 1036 - 2;1588269001;"The island of Umm An-Nar 2. Frifelt, Karen  : Third millennium settlement. - 1995. (Jutland Archaeological Society publications ; 26,2)";"Jutland Archaeological Society publications ; 26, 2";87-7288-561-0
P 1036d;1588273001;Iz istorii Severnogo Pricernomorja v anticnuju epochu : sbornik statej / K. S. Gorbunova;;
P 1036f;1588281001;"Hrvatsko Arheolosko Drustvo: Novija i neobjavljena... / Hrvatsko Arheolosko Drustvo. [Réd.: Zeljko Rapanic] (Izdanja Hrvatskog Arheolosko... ; 3)";"Izdanja Hrvatskog Arheoloskog Drustva ; 3";
P 1036h - 1;1588285001;"L'Italie préromaine et la Rome républicaine 1 . Band 1. - 1976. - XXVI, 550 S. : Ill., Kt. (Collection de l'Ecole Française de Rome ; 27, 1)";Collection de l'Ecole Française de Rome, 27, 1;
P 1036h - 2;1588286001;"L'Italie préromaine et la Rome républicaine 2. Band 2. - 1976. - S. 552 - 1071 : Ill. (Collection de l'Ecole Française de Rome ; 27,2)";Collection de l'Ecole Française de Rome , 27, 2;
P 1036k;1588316001;Italy before the Romans : the Iron Age, orientalizing and Etruscan periods / ed. by David Ridgway ...;;0-12-588020-0
P 1037 - 2;1588338001;"Graziosi, Paolo: I Balzi rossi / Paolo Graziosi (R. Deputazione di storia pat... ; 2)";"R. Deputazione di storia patria per la Liguria. Sezione ingauna e intemelia. Itinerari storico-turistici della Riviera di Ponente ; 2";
P 1037 - 3;1588349001;"Lamboglia, Nino: S[an] Giorgio di Campochiesa / Nino Lamboglia (Itinerari storico-turistici ... ; 3)";"Itinerari storico-turistici della Riviera di Ponente ; 3";
P 1037 - 4;1588352001;"Lamboglia, Nino: Il trofeo di Augusto alla Turbia / Nino Lamboglia (Serie degli Itinerari storic... ; 4)";"Serie degli Itinerari storico-turistici della riviera di Ponente ; 4";
P 1037 - 5;1588346001;"Lamboglia, Nino: Vado romana : (con 18 illustrazioni) / Nino Lamboglia. R. deputazione di storia patria per la liguria sezione ingauna e intemelia (Itinerari storico-turistici ... ; 5)";"Itinerari storico-turistici della Riviera di Ponente ; 5";
P 1038;406909001;"Itten, Marion: Die Horgener Kultur / Marion Itten (Monographien zur Ur- und Frü... ; 17)";;
P 1038m;1588319001;"Ivanova, Irina K.: Das geologische Alter des fossilen Menschen / I. K. Ivanova (Archaeologica venatoria ; 1)";"Archaeologica venatoria ; 1";3-17-079029-3
P 1038o;1588320001;"Ivory in Greece and the Eastern Mediterranean from the Bronze Age to the Hellenistic period / Ed. by J. Lesley Fitton (Occasional paper / British M... ; 85)";"Occasional paper / British Museum ; 85";0-86159-085-6
P 1038s;1588324001;Jackson, Sidney: Celtic and other stone heads / Sidney Jackson. Foreword by Anne Ross;;
P 1039;406719001;"Kroll, Hubert: Der vorgeschichtliche Friedhof auf dem Radberg in Hülsten, Kr. Borken : Teil I / Hubert Kroll (Mitteilung aus d. Ruhrland-M... ; 109)";;
P 1040;1588325001;Jackson, Ralph: Camerton : the late Iron Age and early Roman metal work / Ralph Jackson;;0-7141-1395-6
P 1041;1588326001;"Weis, Dieter: Die Großstadt Essen... / von Dieter Weis (Bonner G... ; 7)(Forschungen... ; 59)";"Bonner Geographische Abhandlungen ; 7";
P 1042;1588327001;"Het Gallo-romeins Museum in Tongeren : een initiatief van de provincie Limburg (Openbaar Kunstbezit in Vlaan... ; 3)";"Openbaar Kunstbezit in Vlaanderen 32 ; 1994 ; 3";
P 1043 - 11;1606046001;"Die Andernacher... / [Hrsg.: Klaus Schäfer] (Andernacher Beiträge ; 11)";"Andernacher Beiträge ; 11";
P 1043 - 12;1606051001;"Caesar am... / Klaus Schäfer. Mit Beitr. von Gerhard Bauchhenß ... - 2. Aufl. (Andernacher Beiträge ; 12)";"Andernacher Beiträge ; 12";
P 1043 - 13;1609212001;"Mangartz, Fritz: Die antiken Steinbrüche der Hohen Buche bei Andernach : Topographie, Technologie und Chronologie / Fritz Mangartz (Vulkanpa... ; 1)(Andernacher... ; 13)";"Vulkanpark-Forschungen ; 1";3-88467-041-7
P 1043 - 16;400575001;"Zwischen Kreuz und Schwert : Andernach im 7. Jahrhundert ; Begleitheft zur Sonderausstellung im Stadtmuseum Andernach vom 25. September bis 9. Dezember 2001... (Andernacher Beiträge ; 16)";;
P 1043 - 2;1588328001;"Bosinski, Gerhard ; Kolfschoten, Thijs van ; Turner, Elaine: Miesenheim I : Die... / Gerhard Bosinski ; Thijs van Kolfschoten ; Elaine Turner (Andernacher Beiträge ; 2)";"Andernacher Beiträge ; 2";
P 1043 - 23;1554860001;"Schäfer, Klaus: Eiszeitjäger auf dem Andernacher Martinsberg : 125 Jahre Spurensuche ; Begleitheft zur gleichnamigen Sonderausstellung im Stadtmuseum Andernach vom 10. März 2009 bis 31. Mai 2009... (Andernacher Beiträge ; 23)";"Andernacher Beiträge ; 23";978-3-9807996-8-3
P 1043 - 27;1638326001;"450 Jahre Alter Krahnen... / Klaus Schäfer (Andernacher Beiträge ; 27)";"Andernacher Beiträge ; 27";978-3-9813109-2-4
P 1043 - 29;1700770001;"Die Münzfunde der Grabung auf dem Gelände der ehemaligen Malzfabrik Weissheimer in Andernach (ab 2008) : Münzen vom... (Andernacher Beiträge ; 29)";"Andernacher Beiträge ; 29";
P 1043 - 3;1572719001;"Andernach im Frühmittelalte... / [Hrsg.: Klaus Schäfer] (Andernacher Beiträge ; 3)";"Andernacher Beiträge ; 3";
P 1043 - 30;1717719001;"Nostalgische Rheinreise von Mainz bis Köln : Aquarelle, Zeichnungen, Lithographien 1800 - 1950 ; [Begleitheft zur gleichnamigen... (Andernacher Beiträge ; 30)";"Andernacher Beiträge ; 30";978-3-9813109-9-3
P 1043 - 32;1743813001;"Schäfer, Klaus: Bims im Bild / Klaus Schäfer ; mit Arbeiten von Marie Guillo (Andernacher Beiträge ; 32)";"Andernacher Beiträge ; 32";978-3-9816873-3-0
;1782061001;;"Andernacher Beiträge ;  34";978-3-9816873-9-2
P 1043 - 7;1606267001;"Oesterwind, Bernd C.: Die frührömischen Gräberfelder Andernach-Kirchberg, Martinsberg und Koblenz-Kaiserin-Augusta-Ring, Moselring (Andernacher Beiträge ; 7)";"Andernacher Beiträge ; 7";
