Signatur;EXEMPLARNR;Kurztitel;GTV;ISBN
P 1022h - 3;1586993001;Ikaros 3. Jeppesen, Kristian : The sacred enclosure in the Early Hellenistic period : with an appendix on epigraphical finds. - 1989. - 122 S.;;87-7288-053-8
P 1022s;213732006;"Ilisch, Peter: Münzfunde und Geldumlauf in Westfalen in Mittelalter und Neuzeit : numismatische Untersuchungen und Verzeichnis der Funde... (Veröffentlichun... : Reihe 1 ;  23)";"Veröffentlichungen des Provinzialinstituts für Westfälische Landes- und Volksforschung des Landschaftsverbandes Westfalen-Lippe : Reihe 1 ; 23";3-402-06081-7
P 1022sb;1586995001;Ilisch, Peter: Das Kunstwerk des Monats Oktober 1981 : Caligula (37-41 n. Chr.) Dupondius für Germanicus. Inv. Nr. WLM 57-10/4220 MZ. / Peter Ilisch;;
P 1023;1586996001;"Illert, Georg M.: Das vorgeschichtliche Siedlungsbild des Wormser Rheinübergangs / von Georg M. Illert (Der Wormsgau; Beih. ; 12)";"¬Der¬ Wormsgau; Beih.";
P 1023d - 1;1587000001;Illerup Ådal 1. Ilkjaer, Jørgen : Die Lanzen und Speere : Textband. - 1990. - 404 S. : Ill.;;
P 1023d - 10;402249001;Illerup Ådal 10. Ilkjaer, Jørgen : Die Schilde : Katalog, Tafeln und Fundlisten. - 2001. - 485 S. : überw. Ill.;;
P 1023d - 11;1683229001;"Illerup Ådal 11. Biborksi, Marcin...  : Die Schwerter  : Textband. - 2006. - 412 S. : Ill., graph.Darst. (Jysk Arkaeologisk Selskab: Jysk Arkaeologisk Sel... ; ...)";"Jysk Arkaeologisk Selskabs skrifter ; 25,11";87-88415-38-4
P 1023d - 12;1684592001;"Illerup Ådal 12. Biborksi, Marcin...  : Die Schwerter : Katalog, Tafeln und Fundlisten. - 2006. - 414 S. : Ill. (Jutland Archaeological Society publications ; 25,12)";"Jutland Archaeological Society publications ; 25,12";87-88415-38-4
P 1023d - 13;1683230001;Illerup Ådal 13. Jensen, Xenia Pauli ...  : Die Bögen, Pfeile und Äxte. - 2009. - 288 S. : zahlr. Ill., Kt.;;978-87-88415-62-9
P 1023d - 14;1683228001;"Illerup Ådal 14. Bursche, Aleksander : Die Münzen. - 2011. - 141 S. : zahlr. Ill., graph. Darst., Kt. (Jysk Arkaeologisk Selskabs skrifter ; 25,14)";"Jutland Archaeological Society publications ; 25,14";978-87-88415-72-8
P 1023d - 2;1586999001;Illerup Ådal 2. Ilkjaer, Jørgen : Die Lanzen und Speere : Tafelband. - 1990. - 245 S. : Ill.;;
P 1023d - 3;1587001001;"Illerup Ådal 3. Ilkjaer, Jørgen : Die Gürtel : Bestandteile u. Zubehör;  Textband. - 1993. - 453 S. : Ill.";;
P 1023d - 4;1587002001;"Illerup Ådal 4. Ilkjaer, Jørgen : Die Gürtel : Bestandteile u. Zubehör;  Tafelband. - 1993. - 506 S. : Ill.";;
P 1023d - 5;1587003001;Illerup Ådal 5. Carnap-Bornheim, Claus von : Die Prachtausrüstungen  : Textband. - 1996. - 506 S. : Ill., graph. Darst.;;87-7288-581-5
P 1023d - 6;1587005001;Illerup Ådal 6. Carnap-Bornheim, Claus von...  : Die Prachtausrüstungen : Katalog, Fundlisten und Literatur. - 1996. - 322 S. : Ill.;;87-7288-581-5
P 1023d - 7;1587004001;Illerup Ådal 7. Carnap-Bornheim, Claus von : Die Prachtausrüstungen : Tafelband. - 1996. - 254 S. : zahlr. Ill.;;87-7288-581-5
P 1023d - 8;1587006001;Illerup Ådal 8. Carnap-Bornheim, Claus von...  : Die Prachtausrüstungen : Grabungsdokumentation und Fundliste. - 1996. - 66 S.;;87-7288-586-6
P 1023d - 9;402248001;Illerup Ådal 9. Ilkjaer, Jørgen : Die Schilde : Textband. - 2001. - 383 S. : zahlr. Ill.;;
P 1023g;1590405001;"Images et société... / publ. par: Claude Bérard ... (Cahiers d'archéologie romande ; 36)";"Cahiers d'archéologie romande  ; 36";2-88028-036-2
P 1023h;1587016001;"Imdahl, Max ; Kunisch, Norbert: Plastik : Antike und moderne Kunst der Sammlung Dierichs in der Ruhr-Universität Bochum / Max Imdahl ; Norbert Kunisch";;3-7749-1686-1
P 1023k;1587019001;"The impact of aerial... (Textes de sciences sociales ; 49)";"Textes de sciences sociales ; 49";0-906780-24-1
P 1023s;1587526001;Anthropogenic indicators in pollen diagrams / ed. by Karl-Ernst Behre;;90-6191-673-9
P 1024;1587542001;The individual in prehistory : studies of variability in style in prehistoric technologies / ed. by James N. Hill ... (Studies in archeology);Studies in archeology;0-12-348150-3
P 1025;1587548001;"Auler, Jost: Münster-Hiltrup in ur- und frühgeschichtlicher Zeit : eine archäologische Gebietsaufnahme / Jost Auler (Charybdis ; 6)";"Charybdis ; 6";3-89473-613-5
P 1025k - 1;1587606001;L'industrie en os et bois de cervidé durant le néolithique et l'âge des métaux  1.  - 1979.;;
P 1025k - 2;1587607001;L'industrie en os et bois de cervidé durant le néolithique et l'âge des métaux 2. Saint-Germain-en-Laye : 1980. - 1982.;;
P 1025p;1587553001;"Crossley, D. W.: Medieval industry / D. W. Crossley (Council for British Archaeol... ; 40)";"Council for British Archaeology: Research report. ; 40";0-906780-07-1
P 1026;1587557001;"Bernhard, Gerda ; Behrens, Gustav ; Burger, Alexander: Ingelheim / von Gerda Bernhard, Gustav Behrens, Alexander Burger und Ernst Emmerling (Rheinhessen in seiner Vergan... ; 9)";"Rheinhessen in seiner Vergangenheit ; 9";
P 1026a;1587560001;"Böhner, Kurt ; Sage, Walter ; Classen, Peter: Ingelheim am Rhein : Forschungen und Studien zur Geschichte Ingelheims / von Kurt Böhner, Walter Sage, Peter Classen ... ; hrsg. von Johanne Autenrieth";;
P 1026e;1587564001;L' inhumation privilégiée du IVe au VIIIe siècle en Occident... / Université de Paris-Val-de-Marne. Éd. par Y. Duval ...;;2-7018-0031-5
P 1026g;1587567001;"Iniesta Sanmartín, Angel: Las fíbulas de la region de Murcia / Angel Iniesta Sanmartín (Biblioteca basica Murciana ; 15.)";"Biblioteca basica Murciana ; 15.";84-500-8553-5
P 1026k - 1;1587615001;Die Wallburgen Südtirols 1. Pustertal. - 1975. - 173 S. : Ill.;;
P 1026k - 2;1587618001;Die Wallburgen Südtirols 2. Vinschgau, Burggrafenamt, Überetsch. - 1975. - 190 S. : Ill., Kt.;;
P 1026s - 1;1587575001;"Insignia regni Hungariae 1. Studien zur Machtsymbolik des mittelalterlichen Ungarn. - 1983. - 193 S. : Ill. (Insignia regni Hungariae ; 1)";"Insignia regni Hungariae ; 1";963-563-050-6
P 1027;1587588001;"Eisenschmidt, Silke: Kammergräber der Wikingerzeit in Altdänemark / von Silke Eisenschmidt (Universitätsforschungen zur ... ; 25 )";"Universitätsforschungen zur prähistorischen Archäologie ; 25";3-7749-2664-6
P 1027b;1587591001;Instinsky, Hans Ulrich: Das Jahr der Geburt Christi : eine geschichtswissenschaftliche Studie / Hans Ulrich Instinsky;;
P 1027h;19759002;Institutionen, Kultur und Gesellschaft im Mittelalter : Festschrift für Josef Fleckenstein zu seinem 65. Geburtstag / hrsg. von Lutz Fenske, Werner Rösener und...;;3-7995-7024-1
P 1027m - 1;1587635001;"Interaction and acculturation in the Mediterranean 1. 1980. (Publications of the Henri Frankfort Foundation ; 6)";"Publications of the Henri Frankfort Foundation; 6";
P 1027m - 2;1587639001;"Interaction and acculturation in the Mediterranean 2. 1982. (Publications of the Henri Frankfort Foundation ; 7)";"Publications of the Henri Frankfort Foundation; 7";
P 1027s;1587598001;Interaktionen der mitteleuropäischen Slawen und anderen Ethnika im 6. - 10. Jahrhundert : Symposium Nove Vozokany 3. - 7. Oktober 1983 / Archäologisches Institut...;;
P 1028 - 1;1587661001;Inventar der Bodendenkmäler des Amtes für Bodendenkmalpflege im Reg.-Bez. Darmstadt 1. Der Felsberg im Odenwald : mit geologischen und archäologischen... (Band 1);;
P 1028 - 2;1587665001;Inventar der Bodendenkmäler des Amtes für Bodendenkmalpflege im Reg.-Bez. Darmstadt 2. Nahrgang, Karl : Vorgeschichtliche Grabhügelgruppen im Offenbacher Wald. - 1959. - 32 S.;;
P 1028 - 4;1587666001;Inventar der Bodendenkmäler des Amtes für Bodendenkmalpflege im Reg.-Bez. Darmstadt 4. Inventar der ur- und frühgeschichtlichen Geländedenkmäler und Funde des Kreises Bergstrasse. - 1968. - 114, 112 S. : zahlr. Ill.;;
P 1028 - 5;1587667001;"Inventar der Bodendenkmäler des Amtes für Bodendenkmalpflege im Reg.-Bez. Darmstadt 5. Inventar der urgeschichtlichen Geländedenkmäler und Funde des Stadt- und Landkreises Gießen. - 1976. - VIII, 256, 109 S. : Ill., Kt. (Materialien zur Vor- und Frühgeschichte von Hessen ; 1)";Materialien zur Vor- und Frühgeschichte von Hessen , 1;
P 1029 - 1;1587669001;Inventar der vor- und frühgeschichlichen Denkmäler im Regierungsbezirk Wiesbaden 1. Wurm, Karl : Der Oberlahnkreis. - 1965. - XI, 191 S. : graph. Darst., Kt.;;
P 1029 - 2;1587670001;Inventar der vor- und frühgeschichlichen Denkmäler im Regierungsbezirk Wiesbaden 2. Janke, Heinrich : Der Kreis Biedenkopf. - 1973. - IX, 36, 9, 4 S. : Ill., Kt.;;
;1595224001;;;
P 1030 - 1;1595245001;"Sangmeister, Edward: Grabfunde der südwestdeutschen Schnurkeramik / von Eduard Sangmeister (Inventaria archaeologica : D... ; ...)";"Inventaria archaeologica : Deutschland ; H. 1 = Bl. D 1 - D 10";
P 1030 - 10;1595261001;"Raddatz, Klaus ; Marien, Marcel-Edouard: Metallzeit : germanische Grabfunde der römischen Kaiserzeit aus Schleswig-Holstein / Klaus Raddatz ; Marcel-Edouard Marien (Inventaria archaeologica : D... ; ...)";"Inventaria archaeologica : Deutschland ; H. 10 = Bl. D 91 - D 100";
P 1030 - 11;1595263001;"Hingst, Hans ; Marien, Marcel-Edouard: Metallzeit : Grabfunde der jüngeren vorrömischen Eisenzeit aus Schleswig-Holstein / Hans Hingst ; Marcel-Edouard Marien (Inventaria archaeologica : D... ; ...)";"Inventaria archaeologica : Deutschland ; H.11 = Bl. D 101 - D 110";
P 1030 - 12;1595264001;"Behrens, Hermann ; Marien, Marcel-Edouard: Steinzeit - Bronzezeit : die Funde aus dem großen Grabhügel ""Spitzes Hoch"" bei Latdorf, Kr. Bernburg / Hermann Behrens... (Inventaria archaeologica : D... ; ...)";"Inventaria archaeologica : Deutschland ; H. 12 = Bl. D 111 - D 120";
P 1030 - 13;1595265001;"Behrens, Hermann: Steinzeit, Bronzezeit : die Funde aus dem grossen Grabhügel ""Pohlsberg"" bei Latdorf, Kr. Bernburg / Hermann Behrens (Inventaria archaeologica : D... ; ...)";"Inventaria archaeologica : Deutschland ; H. 13 = Bl. D 121 - D 128";
P 1030 - 14;1595266001;"Dehn, Rolf: Grabfunde der frühen Urnenfelderkultur aus Südwestdeutschland / Rolf Dehn (Inventaria archaeologica : D... ; ...)";"Inventaria archaeologica : Deutschland ; H .14 = Bl. D 129 - D 132";
P 1030 - 15;1595267001;"Schaaff, Ulrich: Metallzeit : Frühlatènegräber mit Bronzeschmuck aus Rheinhessen / von Ulrich Schaaff (Inventaria archaeologica : D... ; ...)";"Inventaria archaeologica : Deutschland ; H. 15 = Bl. D 133 - D 142";
P 1030 - 16;1595269001;"Joachim, Hans-Eckart: Metallzeit : Gräber der Urnenfelder-, Hallstatt- und Latènezeit vom Mittelrhein / von Hans-Eckart Joachim (Inventaria archaeologica : D... ; ...)";"Inventaria archaeologica: Deutschland ; H. 16 = Bl. D 143 - D 152";
P 1030 - 17;1595270001;"Laux, Friedrich: Bronzezeitliche Männergräber aus Niedersachsen / Friedrich Laux (Inventaria archaeologica : D... ; ...)";"Inventaria archaeologica : Deutschland ; H. 17 = Bl. D 153 - D 162";
P 1030 - 18;1595271001;"Laux, Friedrich: Bronzezeitliche Frauengräber aus Niedersachsen / von Friedrich Laux (Inventaria archaeologica : D... ; ...)";"Inventaria archaeologica : Deutschland ; H. 18 = Bl. D 163 - D 173";3-7749-1100-2
