EXEMPLARNR;ISBN
1589876001;3-87358-283-X
1589877001;0-946897-37-9
1589882001;0-946897-28-X
1589883001;0-946897-43-3
1589886001;3-87157-139-3
;
1589892001;
1589895001;
1589897001;
1589898001;
1590122001;
1590124001;
1590125001;
1590127001;
1590129001;
1590131001;
1590132001;
1590133001;0-946897-57-3
1590400001;3-921618-02-9
1590137001;0-946897-58-1
1590141001;3-929864-00-2
16742004;
1590144001;
1590168001;
1590170001;3-85124-146-0
406965001;
1590352001;3-900773-04-1
1590354001;3-900773-07-6
1590358001;3-900773-08-4
1590679001;3-900773-06-8
1590680001;3-900773-11-4
1590172001;0-947846-02-6
1590174001;83-85599-20-7
1590178001;
100663002;3-7848-4042-6
1590181001;
1590183001;
1590371001;
1590372001;
1590374001;
1590187001;
1590188001;
1590191001;
1590194001;3-928957-01-5
1590195001;
1590367001;3-928957-02-3
1590379001;
1590380001;
1590382001;3-928957-03-1
1590383001;90-6255-093-2
1590934001;0-905853-06-7
1590937001;0-905853-16-4
1590938001;0-905853-33-4
1590389001;0-905853-32-6
1590393001;
1590394001;
1590397001;
1590399001;3-929645-01-7
1590412001;3-929645-01-9
1590415001;
1590418001;
1590420001;
214267002;
1590426001;3-11-004752-7
1590429001;
1590431001;3-529-01813-9
214268002;
1590435001;3-205-03658-1
1590436001;
1590438001;
1590441001;
1590443001;
1590445001;
1590447001;
1704057001;
1590478001;83-85463-20-8
1590479001;
1590483001;
1590484001;
1590486001;
1590488001;
402409001;3-9802601-7-8
1590492001;
1590495001;
1590496001;
214284002;
1590502001;91-506-0481-3
1590503001;
1590504001;
1590506001;
1590512001;3-8204-6752-1
1590521001;
406827001;83-04-01119-0
1590535001;83-231-0541-3
1590546001;
1590552001;3-89442-213-0
1590557001;
1590589001;
1590592001;
1670145001;
1670146001;
1670147001;
1670148001;
1670149001;
1670150001;
1670151001;
1670152001;
1540531001;
1540568001;
1540570001;
1553031001;
1590673001;
1590940001;
1590941001;3-8053-1601-1
1590944001;
1590945001;87-7304-159-9
1590946001;
1590948001;0-416-34190-X
1590949001;
1590950001;82-90215-12-6
1590952001;87-7288-048-1
1590953001;
1590954001;
1590955001;
1590957001;
1590958001;
214343002;
1590961001;
1590962001;
1590965001;3-7001-0258-5
1590966001;3-215-04441-2
1590968001;0-12-385450-4
1590969001;87-480-0484-7
1590971001;87-7288-044-9
1590972001;
1590975001;2-235-00729-5
1590982001;
1590984001;
1590991001;
1591001001;
1591003001;
1591007001;
1591018001;
1591020001;91-85952-00-1
1591021001;
1591025001;
1591030001;3-87760-606-7
1591032001;0-7141-1361-1
1591033001;0-7141-1372-7
1591036001;91-40-03215-9
1591189001;0-7136-2223-7
1591190001;3-8053-0868-X
1591191001;0-236-40024-X
1591193001;0-7100-0432-X
1591194001;0-7134-3476-7
1591196001;0-7134-5958-1
1591197001;
1591199001;
1591200001;
1591201001;
1591202001;87-418-1945-4
1591203001;
1591204001;
1591205001;
1591207001;
1591208001;
1591209001;
1595151001;
214454006;
214452006;
1591210001;
406605001;3-430-15151-1
1591212001;
1591213001;
1591214001;3-930811-00-6
1591217001;3-8053-1006-4
1591218001;3-8053-1139-7
1591219001;3-8053-1288-1
1591220001;
1591221001;
1591222001;
1591225001;
1591228001;83-85463-00-3
1591229001;83-85483-74-8
1591230001;
1591233001;3-7861-2185-0
1591240001;
1591266001;2-88028-030-3
1591268001;
1591270001;
50725004;
1591271001;3-445-01315-2
1591272001;
1591273001;
1591274001;
1591280001;
1591283001;
23547002;3-7928-0347-X
1591286001;3-534-04549-1
1591289001;
1591296001;
1765731001;978-80-210-8455-1
1765732001;978-80-210-8417-9
