EXEMPLARNR;ISBN
1587743001;FALSE
1587744001;FALSE
1587745001;FALSE
1587746001;FALSE
1587747001;FALSE
1587748001;FALSE
1587749001;FALSE
1587751001;FALSE
1587753001;FALSE
1587755001;FALSE
1587756001;FALSE
400872001;FALSE
402530001;FALSE
403416001;FALSE
405071001;FALSE
408010001;FALSE
1564994001;FALSE
1638920001;FALSE
1655908001;FALSE
1690283001;FALSE
1712549001;FALSE
1739205001;FALSE
1752322001;FALSE
1769545001;FALSE
1588180001;FALSE
1588183001;0-901714-54-2
1588197001;FALSE
1588199001;FALSE
1588203001;3-87439-106-X
1588224001;0-906090-00-8
1588221001;FALSE
1588228001;FALSE
1588231001;FALSE
1588232001;FALSE
1588237001;91-36-86949-X
213960002;FALSE
1588239001;FALSE
1588245001;0-521-36573-2
1588247001;FALSE
1588248001;FALSE
1588255001;3-534-07058-5
1588259001;3-534-04003-1
1588261001;0-85976-101-0
1588267001;87-7288-561-0
1588269001;87-7288-561-0
1588273001;FALSE
1588281001;FALSE
1588285001;FALSE
1588286001;FALSE
1588316001;0-12-588020-0
1588338001;FALSE
1588349001;FALSE
1588352001;FALSE
1588346001;FALSE
406909001;FALSE
1588319001;3-17-079029-3
1588320001;0-86159-085-6
1588324001;FALSE
406719001;FALSE
1588325001;0-7141-1395-6
1588326001;FALSE
1588327001;FALSE
1606046001;FALSE
1606051001;FALSE
1609212001;3-88467-041-7
400575001;FALSE
1588328001;FALSE
1554860001;978-3-9807996-8-3
1638326001;978-3-9813109-2-4
1700770001;FALSE
1572719001;FALSE
1717719001;978-3-9813109-9-3
1743813001;978-3-9816873-3-0
1782061001;978-3-9816873-9-2
1606267001;FALSE
1606269001;FALSE
1606049001;FALSE
1588360001;FALSE
8689003;FALSE
1588363001;FALSE
1588366001;FALSE
1588367001;FALSE
712204002;FALSE
203165002;FALSE
1588391001;FALSE
1588392001;FALSE
1588393001;FALSE
1588394001;82-7126-094-4
1588412001;FALSE
1588413001;FALSE
1589764001;82-7126-346-3
1589773001;82-7126-347-1
1589849001;82-7126-357-8
1589853001;82-7126-417-6
1589856001;82-7126-453-2
1589811001;82-7126-420-6
1589812001;FALSE
406896001;FALSE
406962001;FALSE
1588416001;FALSE
1588417001;FALSE
1588418001;FALSE
1589817001;FALSE
1589822001;82-7126-442-7
1589832001;FALSE
1589834001;FALSE
1589841001;3-929055-26-0
1589872001;3-458-32213-2
1589874001;FALSE
127222002;3-87358-156-6
1589876001;3-87358-283-X
1589877001;0-946897-37-9
1589882001;0-946897-28-X
1589883001;0-946897-43-3
1589886001;3-87157-139-3
;FALSE
1589892001;FALSE
1589895001;FALSE
1589897001;FALSE
1589898001;FALSE
1590122001;FALSE
1590124001;FALSE
1590125001;FALSE
1590127001;FALSE
1590129001;FALSE
1590131001;FALSE
1590132001;FALSE
1590133001;0-946897-57-3
1590400001;3-921618-02-9
1590137001;0-946897-58-1
1590141001;3-929864-00-2
16742004;FALSE
1590144001;FALSE
1590168001;FALSE
1590170001;3-85124-146-0
406965001;FALSE
1590352001;3-900773-04-1
1590354001;3-900773-07-6
1590358001;3-900773-08-4
1590679001;3-900773-06-8
1590680001;3-900773-11-4
1590172001;0-947846-02-6
